Date,Channel,Pay period,Customer group,Campaign,Clicks,Impressions,Signups,FTD Count,FTD Amount,Deposits,Withdrawals,NGR,Income
2026-03-18,BetWarrior Brazil,2026-03-01,0,Uol - 970x90 - Tênis,9,0,0,0,0,0,0,0,0.00
2026-03-18,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Tênis,193,0,1,1,1.89,1.89,0,1.39,0.00
2026-03-18,BetWarrior Brazil,2026-03-01,0,Uol - 16x9 - Institucional,8,0,0,0,0,0,0,0,0.00
2026-03-18,BetWarrior Brazil,2026-03-01,0,365 Scores - Interstial - Institucional,859,0,0,0,0,0,0,0,0.00
2026-03-18,BetWarrior Brazil,2026-03-01,0,365 Scores - Banner - Institucional,53,0,0,0,0,0,0,0,0.00
2026-03-18,BetWarrior Brazil,2026-03-01,0,365 Scores - MPU - Institucional,33,0,0,0,0,0,0,0,0.00
2026-03-18,BetWarrior Brazil,2026-03-01,0,365 Scores - Floating Button - Institucional,56,0,0,1,18.99,18.99,0,13.96,0.00
2026-03-18,BetWarrior Brazil,2026-03-01,0,365 Scores - Home Page Takeover - Institucional,41,0,0,0,0,0,0,0,0.00
2026-03-19,BetWarrior Brazil,2026-03-01,0,Uol - 728x90 - Basquete,285,0,0,0,0,0,0,0,0.00
2026-03-19,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Basquete,243,0,0,0,0,0,0,0,0.00
2026-03-19,BetWarrior Brazil,2026-03-01,0,Uol - 300x100 - Futebol,206,0,0,0,0,0,0,0,0.00
2026-03-19,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Futebol,286,0,0,0,0,0,0,0,0.00
2026-03-19,BetWarrior Brazil,2026-03-01,0,Uol - 320x100 - Tênis,128,0,0,0,0,0,0,0,0.00
2026-03-19,BetWarrior Brazil,2026-03-01,0,Uol - 970x90 - Tênis,4,0,0,0,0,0,0,0,0.00
2026-03-19,BetWarrior Brazil,2026-03-01,0,Uol - 300x250 - Tênis,208,0,0,0,0,0,0,0,0.00
2026-03-19,BetWarrior Brazil,2026-03-01,0,Uol - 16x9 - Institucional,6,0,0,0,0,0,0,0,0.00
2026-03-19,BetWarrior Brazil,2026-03-01,0,365 Scores - Interstial - Institucional,541,0,0,0,0,0,0,0,0.00
